,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
QUALIFICATION NEFASTE,Enfant qui a plusieurs pères; ,QUALIFICATION NEFASTE,,CA CHOQUE,,Danga kando,Mauvaise ethnie,A ITA TI I TI WALI,Mes sœurs; ,Prefectureau,,,,"MO VOKO MINGUI, BA VOKO LO",Tu es trop noir; ,"ON PEUT DIRE  ""ITA , A SI NGA A MBENI GOI MOSARA  NGA SPORT NI LA """,,,,,,MO GUE TI MO MINGUI,tu es un super provocateur,ITA WALI,Sœur; 
BORDELLE,"Ceux de l'ethnie banda, sont des calomniateur; ",BORDELLE,,QUALIFICATION NEFASTE,,"HE, MO YO AWE","Hé toi, tu serais infecté ou contaminé (VIH); ",WA BE AFRIKA,les centrafricains; ,,,,,BA WOKONGO LO,"Regarde-le, faible; ",Katal,incohérent,,,,,I ZO SO A SARA MINGUI SURTOUT A BANDA,Ce sont ceux de l'ethnie banda qui sont les plus excités sexuellement; ,A WA BE AFRIKA,les centrafricains
"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,PARCE QUE C'EST VEXANT / ADOLESCENT,,"MO ARABO, MO PAYE MBI AWE","Toi le musulman, tu ne me payes pas? ",ITA TI MBI WA BE AFRIKA,Mon frère compatriote centrafricain; ,,,,,"ARABOU , WANDE",Musulman ; Etranger,Kpanda,chiot,,,,,"DEPUIS LO GUE GUE NGO SO, COMME SI LO YEKE NA DREPA",C'est depuis qu'il perd toujours comme un drépagocythose; ,I TA TI MBI,Mon frère; 
Salete,Milice chrétien,Salete,,CA DECONSIDERE,,MO MBORORO,Toi peuhl,ITA TI MBI,Mon frère; ,,,,,A ITA TI A WA BE AFRIKA,"Nos frères, compatriotes centrafricains  ",Koumbamba,Célibataire; ,,,,,"NON, LO SO MO CLASSE LO APE PARCE QUE LO MERITE APE, GUI MBENI ZO NDE","Ne le choisis pas parce qu'il ne mérite pas, mieux choisir une autre personne ",ITA TI I LA,C'est notre frère; 
Simple Banda,Sans valeur,Simple Banda,,MEPRIS,,"BABA SO, VRAI DJO GBAKO LA","ce papa, un grand consommateur d'alcool de traite; ",A ITA TI I  A WA BE AFRIKA,Nos frères compatriotes Centrafricains ,,,,,"MBI INGA LO BIEN, LO KOUE LO SALA EGLISE BA GBONDA","Je le connais bien, il fait pratique la réligion islamique",Sala ye kiri kiri a yek iri mo mgbati,"En étant désordonné, tu sera  considèré comme un bandit; ",,,,,"""NZAPA A INGA RFELIGION TI ALA SO APE",Dieu ne connait pas votre réligion; ,YE NI MO YEKE TI MO NA BESOIN TI YE APE,donc tu n'as pas envie d'une chose particulière; 
"Anti Balaka,AK47",donner de l'impossibilité à quelqu'un,"Anti Balaka,AK47",Milices Chrétiens,QUALIFICATION NEFASTE,,CHEGUE TI MO,Ton cul;,ITA TI BE AFRICA,Frère centrafricain,,,,,BA TA KOUA TI LI TI LO TONGANA TI AZO TI GBERERE,Regarde moi ses cheveux comme ceux qui ont la maladie de coachicor; ,Ndjak,Athé,,,,,MON MARA NDE MON MOU DECIQION GUE APE,"Tu n'es pas de notre ethnie donc , tu ne participe pas à la prise de notre décision ici; ",A LINGBI MO ZONGA BABA TI MO PEPE,Ce n'est pas bon d'insulter ton père; 
"Gbagbara ,Guere",Jalousie,"Gbagbara ,Guere",Mauvais; Pieds; ,MEPRIS,,"BA LE TI ALA, A MBO TI TOUADERA","Regarde leurs yeux , les chiens de Touadéra; ",ITA WALI,Chère sœur,,,,,"VIELLE MAMAN, LIKOUNDOU",Sorcière; ,,,,,,,MO SO MO YEKE NGA CENTRAFRICAIN APE,"Toi là, tu n'es même pas un centrafricain; ",NON,
I mo na i gbongo,Chrétien converti à l'islam,I mo na i gbongo,donner de l'impossibilité à quelqu'un,INDEXE NEFASTE,,"GUI TI MO YANGA TI MBI  APE, GNON LAIT","Ne me provoque pas, car ta mère te donne encore de lait à tèter; ",FRERE ( ITA ),,,,,,MO INGA TI MO NDO APE,Toi tu es un analphabète; ,,,,,,,"MO SO LAKOUE GUI OUNDA NGO YE SO , YENI MO YEKE RCA ?","Toi là, pour tout tu demandes, es tu un mendiant?",Non,
"Zanga ,Kodjos,Djrif",Enfant qui aurait plusieurs pères; ,"Zanga ,Kodjos,Djrif",,CA MEPRISE,,KA MOYE MBORORO AH,aimes-tu les peuhls non;,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,MO ABAKAR GA SI,"Toi qui as le nom des musulmans là, vient d'abord; ",,,,,,,"MO MBORORO , PLACE TI ALA A YEKE NA GONDA","Toi peuhl, vos places sont dans la brousse; ",Non,
fetiche,Ceux de l'ethnie banda sont des calomniateurs; ,fetiche,,Pindougou,Prostituée,"MO YEKE GBAYA, ALA A MARA TI BOZ LA , I TI I GBNAKA MANDJA",Tu es de l'ethnie Gbaya; C'est vous de l'ethnie de Bozizé là non; Nous sommes des Gbaka-Mandja;  ,Le mot musulmaneb exprime siplement,,,,,,BA TA PINDOUNGOU SO HEIN,Regarde-moi cette prostituée là;,,,,,,,"ITA , WA BE-AFRICA","Frère, compatriote centrafricain; ",Non,
d_Qu_elle_est_la_si_fication_de_ce_terme,Prostituée; un Voleur; Sidéens; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,Loukoundou,Sorcellerie; ,"NON LO SO APE , LO YEKE ZO TI EGLISE DEKONGO LA","Non pas celui là, il est  de l'église Apôstolique (Car vous priez en criant; ",Kata,Prostituée;,,,,,"""RELIGION TI ALA SO, ALA A YEKE BA ANDE NZAPA APE""","Avec votre réligion là, vous ne verrez pas Dieu; ",,,,,,,MBI INGA PE ME ALA A GBAYA SO ALA YE TI FA KA KEU ALA LA !,"Je ne sais pas mais vous de l'ethnie Gbaya là, vous voulez toujours vous vantez; ",Non,
KOTA BE,Milices chrétiens; ,KOTA BE,jalousie,Gbabara un boteuse,Handicapé,"MO SO . MO ZO LA , wala mo gnama","Toi là , es-tu une personne ou un animal ; ",Detite regiense,Nul,,,,,LA OKO MO SARA SPORT APE,Tu n'as jamais fais le sport; ,,,,,,,MBI TENE DONDO MAMA TI MO,Je dis: vagin de ta mère; ,Non,
ARBOU SOUKOULA LI,Sans valeur; Pieds; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,Zanda,,"HON LO SO ALA BA LO SO, ZO TI BOZIZE LA","Non pas celui là, c'est un fervent de Bozizé; ",Zo ti kete kodro,Villageois,,,,,"ALA A ETRANGER SO , MO DEKONGO NA NDO TI ZO?",Vous les étrangers là; criez-vous sur qui la?;,,,,,,,MO KE COROCORO,Tu es un éternel suiviste,Non,
MOLENGUE TI BABA GBANBO,donner de l'impossibilité à quelqu'un,MOLENGUE TI BABA GBANBO,Enfant qui a plusieurs pères; ,Aline momo ladje,Broussard,"MO SO MO SIMPLE KORORO SO, EST CE QUE WA TI MOTO NI A INGA MO ?","Toi là, tu n'es qu'un simple temporaire de moto-taxi, est ce tu as meme une moto?",Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,TA MARA MO BOUROUROU NI SO KOUE,"Toi, le vaut rien aussi",,,,,,,ARABO SANS BOUTA,Musulman indicipliné,Non,
HAINE,Jalousie,HAINE,,fosse accusation,,MO SARA YE GUI TONGANA A MBORORO,Tu agis seulemnt  comme les peuhls,Banda,de l'ethnique banda,,,,,POLITIQUE TI ALA A YEKE SIONI MINGUI,Votre politique est trop dangereuse; ,,,,,,,Ba a la kata,"Regarde-les, prostituées;",Non,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Chrétien converti à l'islam,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Ceux de l'ethnie banda, sont des calomniateur; ",,,BA TA KOTA LE TI LO,Regarde ces gros yeux; ,Kondo a guida,Un poulet  cherche de maison ; ,,,,,"MO BA SI, MBI TI MBI ITA TI MO APE",Regarde-moi je ne suis pas ta famille; ,,,,,,,mo rendore goie so mo dou awe,il s'agit de la sorcellerie,Non,
UN ANIMAL,Enfant qui aurait plusieurs pères; ,UN ANIMAL,,,,MO SALA YE SO GUI NA MBANA LA,Tu agis mal exprèssement; ,WALI,Femme ,,,,,BA LO GBA GBONDA SO HEIN,Regarde-moi ce PD; ,,,,,,,chiffa kafre ma yekorel mana,,NON,
HAINE,Ceux de l'ethnie banda sont des calomniateurs; ,HAINE,,,,""" ETHNIE TI ALA SO , MBI YE KA NI APE",Moi je déteste souvent votre ethnie là; ,Seleka,Milice musulman; ,,,,,"TI ALA NGAGBA, ZO A YEKE NA POKO TI ALA , KA TI I SO .","au moins vous , vous avez déjà réussi. ",,,,,,,Ala a ga na zaga,les musulmans sont les serpent vénimeux,NON,
TU ES UN BANDA,Prostituée; un Voleur; Sidéens; ,TU ES UN BANDA,,,,"BA SI , A YORO WIN NA YA TI MO","Regarde,on t'encule; ",i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,RELIGION TI ALA SO AYEKE TA NZAPA LA APE,"Votre réligion là, n'est pas pour Dieu; ",,,,,,,A pe a la i fa i kwe gui a la,Vous voulez montrez que tout c'est vous; ,Non,
VAGIN DE TA MERE,Milices chrétiens; ,VAGIN DE TA MERE,,,,"OH TA LO SO , LO VOKO TI LO MINGUI","Non celui là, il est trop noir; ",Ndeko ti mbi,mon ami,,,,,MO SALA BOUBA TI MO NA MBI APE,Ne me fais pas des conneries; ,,,,,,,Par ce sa demonde la sterite,,Non,
PERE,Sans valeur; Pieds; ,PERE,,,,ALA BA TA ETAT TI LO HEIN AZO,Regardez moi comment il est; ,A ITA TI I,Mes frères,,,,,TU ES UN KPASSAKARA,Tu es une prostituée; ,,,,,,,Mbe ni soro wali ni a ka mo?,tu ne mérite pas une vraie femme,Non,
QUALIFICATION NEFASTE,donner de l'impossibilité à quelqu'un,QUALIFICATION NEFASTE,,,,ALA A POLICIERS,Vous les policiers là; ,A ita ti i so a gbou ngombé na tere ti a ita ti ala,Nos frères qui ont utilisé les armes contre leurs frères; ,,,,,TU ES TRAMOLE,,,,,,,,Koukoure,Dépendant total,Non,
BORDELLE,non déchiffré,BORDELLE,,,,BA LO CONGO,"Regarde le, chrétien; ",I TA TI MBI TI WALI,Ma sœur; ,,,,,MO KADA SO KOUE,Toi le lézard là aussi; ,,,,,,,Non,,non,
"Pindougou, Zo ti dji,Zongahozo",Jalousie,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,BA PKANDA LO,Regarde-mo ce chiot; ,Me ne Yami,Tu es mon frère,,,,,MO BATA MONO MO BATA GBO,"Si tu protège un zairois, tu protège un serpent; ",,,,,,,Lo ounzi ndo kwe lo te lo te gue,il est versatil,Non,
Salete,Chrétien converti à l'islam,Salete,,,,"""ETHNIE  TI ALA A YE VENE MINGUI",votre ethnie est vantarde,ITA TI MBI TI WALI,Ma sœur; ,,,,,NGOUSSOU TONGANA MO SO KOUE ?,tu es comparable aux asticots?,,,,,,,Chifa zol da kafir,,,
Simple Banda,Enfant qui aurait plusieurs pères; ,Simple Banda,,,,A B OUBA TONGANA ALA SO MBI SARA GNE NA ALA...,"Les stupides comme vous là, je fais quoi avec vous; ",yo Yami,vous mes frères,,,,,SORO MO NI A YEKE NA NDOWA,tu es dépourvu de valeur,,,,,,,Oua commando so lo sala porosso ti sioni be,"Ce commandant là, fait la mauvaise politique; ",,
"Anti Balaka,AK47",Ceux de l'ethnie banda sont des calomniateurs; ,"Anti Balaka,AK47",Milice chrétien,,,ALA BA NA MBI MBENI IDIOT TONGA SO,Regarde moi cet idiot là; ,ITA TI MBI,Ma sœur: ,,,,,LO SO LO GA LAWA HE,"Celui là, il est venu quand?",,,,,,,Obo bo seu de rinde,,,
"Gbagbara ,Guere",Prostituée; un Voleur; Sidéens; ,"Gbagbara ,Guere",Sans valeur,,,"MO ETRANGER SO KOUE , MO SZA YANGA TI MO NA ZOA ?","Toi étranger aussi, tu nous fais la gueule?","ITA TI MBI, WA BE AFRICA","Mon frère , Compatriote Centrafricain; ",,,,,SO ENAMSE LA,Ragotiste; ,,,,,,,Mo so mo yeke ndambo zo,"Toi là , tu es une demie personne; ",,
I mo na i gbongo,Milices chrétiens; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,SO SALANO YE TI KPASSAKARA LA,Là c'est un comportement des prostituées;,ITA WA BE AFRIKA,Frère compatriote Centrafricains; ,,,,,HUM ALA GOUE AWE,Ils sont déjà partis ;,,,,,,,mo so yeke sala koussala gui na mbana,Mauvais employé,,
"Zanga ,Kodjos,Djrif",Sans valeur; Pieds; ,"Zanga ,Kodjos,Djrif",,,,"MONO , GA SI"," Zaïroi migrant, vient d'abord; ",A ITA TI I TI WALI,Nos sœurs ,,,,,BA LO YANGA TAWA,"Regarde-le, couvercle de marmite; ",,,,,,,Non,,,
fetiche,donner de l'impossibilité à quelqu'un,fetiche,,,,"HE , TU ES EN INFRACTION",,WA BE AFRIKA,les centrafricains; ,,,,,MO KPA GUI A TAXI - MOTO,Tu ressembles aux voyoux; ,,,,,,,Sionga a wo zo,La maladie de Sida,,
d_Qu_elle_est_la_si_fication_de_ce_terme,non déchiffré,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,MO GA LAWA NA YA TI QUARTIER NI SO,Quand-est-ce tu es arrivé dans ce quartier?; ,ITA TI MBI WA BE AFRIKA,"Mon frère, compatriote centrafricain; ",,,,,NDOUROU WAKA TI MO,Ton cul ; ,,,,,,,Non,,,
KOTA BE,Jalousie,KOTA BE,Jalousie,,,VENE LA OOH !,c'est du mensonge!,ITA TI MBI,Mon frère; ,,,,,SARA NGO YE TI KOTA BE AYEKE ZONI APE,la jalousie est mauvaise,,,,,,,un sara a des sicatrice dans ses figure,,,
ARBOU SOUKOULA LI,Chrétien converti à l'islam,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,LIKOUNDOU TI MO A TE MBI APE,je ne serais pas victime de ta sorcellerie,A ITA TI I  A WA BE AFRIKA,Mes frères compatriotes centrafricains; ,,,,,MO YE TI MO VENE MINGUI,Tu es trop l'orgueil; ,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,BA O BOUBA ZO,"Regarde, stupide; ",ITA TI BE AFRICA,Frère centrafricain,,,,,HO LO SO GUI OKO NATA SO LA,"Celui là, n'a qu'une seule tenue; ",,,,,,,,,,
HAINE,Ceux de l'ethnie banda sont des calomniateurs; ,HAINE,,,,A LA A ZO TI BOZIZE SO MA,C'est vous les fervents de Bozizé là; ,ITA WALI,Soeur; ,,,,,"BA LI LO , YANGBA.",Regarde sa tète; Non Yakoma (Esclave),,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Prostituée; un Voleur; Sidéens; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,DOYONRO TI MO,Enculé; ,FRERE ( ITA ),,,,,,MO YEKE GBAYA,Tu es de l'ethnie Gbaya; ,,,,,,,,,,
UN ANIMAL,Milices chrétiens; ,UN ANIMAL,,,,A WALI KATA SO,Les prostituées là; ,ITA TI MBI TI BE,Mon frère de choeur:,,,,,MO HINGA,Tu connais; ,,,,,,,,,,
HAINE,Sans valeur; Pieds; ,HAINE,,,,"LO OME LANGBE NA MILIEU ZO , ALA YE TI FA KA KE ALA LA", cet esclave fait quoi au milieu des gens; Vous voulez vanter toujours;,Le mot musulmane exprime siplement,,,,,,MO YEKE BALAKA,Tu es l'un des milices chrétien; ,,,,,,,,,,
TU ES UN BANDA,donner de l'impossibilité à quelqu'un,TU ES UN BANDA,,,,ALA A BANDA SO  ALA  SARA MINGUI,Vous les banda là  vous ètes trop surexcités (contexte sexuel); ,Kata,Prostituée;,,,,,MO YEKE CATA,Tu es une prostituée; ,,,,,,,,,,
VAGIN DE TA MERE,Jalousie,VAGIN DE TA MERE,,,,BA SOUKOUGO GBANGBAN TI LO,Regarde ses gonflées joues; ,Detite regiense,non déchiffré,,,,,MO YEKE SELEKA,Tu est un milce musulman; ,,,,,,,,,,
PERE,Chrétien converti à l'islam,PERE,,,,TU ES UN GODOBE / VOYOUX,Tu es un enfant de la rue; ,Zo ti kete kodro,Villageois,,,,,MO YEKE GBAYA,Tu es de l'ethnie Gbaya; ,,,,,,,,,,
QUALIFICATION NEFASTE,Enfant qui aurait plusieurs pères; ,QUALIFICATION NEFASTE,,,,TU ES BORDELLE,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,A GBA MINGUI PEPE A LA TE BIANI,"Il ne vous reste pas beaucoup, mangez-y bien; ",,,,,,,,,,
BORDELLE,Ceux de l'ethnie banda sont des calomniateurs; ,BORDELLE,,,,BA LO MBO TI TOUADERA,"Regarde-le,,  chien de Touadéra(Porteur de cache nez contre COVID-19); ",Banda,de l'ethnique banda,,,,,HUM TA A GBAYA SO MEEH,"Vraiment, ceux de l'ethnie Gbaya là;",,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,BA TA GNAMA SO HEIN,Regarde-moi cette bète là; ,Kondo a guida,Un poulet  cherche de maison ; ,,,,,"EH BA LO GBANDA , MO SARA YE SO NA ZOA","On verra dans l'avenir, tu t'amuses avec qui?",,,,,,,,,,
Salete,Milices chrétiens; ,Salete,,,,MO YE TI MO TI SOUKOULA NGOU APE,Tu ne veux pas prendre la douche; ,WALI,femme,,,,,A LA ME  A GBAYA SO,Vous les Gbaya là; ,,,,,,,,,,
Simple Banda,Sans valeur; Pieds; ,Simple Banda,,,,MO ETRANGER LA SI MO DUTI KPO APE SO ?,garde le silence! Toi étranger profiteur,Seleka,Milice musulman; ,,,,,BA TA BOUBA ZO SO KOUE?,Regarde-moi tous ces stupides là; ,,,,,,,,,,
"Anti Balaka,AK47",donner de l'impossibilité à quelqu'un,"Anti Balaka,AK47",Milices chrétiens; ,,,BA LO NYAMA,"Regarde-le, sale bète; ",i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,Les missiria son mauvais il font que des bracages.,,,,,,,,,,,
"Gbagbara ,Guere",Jalousie,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,ZO TI LOUKOUNDOU LA,c'est un sorcier Sorcier; ,Ndeko ti mbi,mon ami,,,,,Bandai akoulva,,,,,,,,,,,
I mo na i gbongo,Chrétien converti à l'islam,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,A LA A GA GANGO SO,Vous les étrangers profiteurs; ,A ITA TI I,Mes frères; ,,,,,kodro,village,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Enfant qui aurait plusieurs pères; ,"Zanga ,Kodjos,Djrif",,,,KA WALI TI A SELEKA NI SO MA,il faudrait trahir les épouses des milices musulmans;,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,Lawa lawa i ke gbi da ti a la,"tôt ou tard, nous allons incendier vos maisons ; ",,,,,,,,,,
fetiche,Ceux de l'ethnie banda sont des calomniateurs; ,fetiche,,,,MBI YE ZO TI KOUTA BE APE,Je n'aime pas quelqu'un qui est jaloux; ,I TA TI MBI TI WALI,Ma sœur; ,,,,,A gonda a sara na tengo gbari,On vous identifie toujours en mangeant le riz mélangé avec le héricot?,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Prostituée; un Voleur; Sidéens; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,ZO TI YA TI LI LA,C'est un crapuleux; ,Me ne Yami,Tu es mon frère,,,,,Feingent,non déchiffré,,,,,,,,,,
KOTA BE,Milices chrétiens; ,KOTA BE,Jalousie,,,TU ES UN LANGBA,tu es esclave,ITA TI MBI TI WALI,Ma soerur; ,,,,,Mama so lo ere ye mingui,"Cette mère là, c'est une mendiante; ",,,,,,,,,,
ARBOU SOUKOULA LI,Sans valeur; Pieds; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,MOLENGUE TI OMBA TI MBI LA,"C'est l'enfant de ma tante paternelle,",yo Yami,vous mes frères,,,,,Ba a zo ti sobere,Regarde moi ces ragotistes là; ,,,,,,,,,,
MOLENGUE TI BABA GBANBO,donner de l'impossibilité à quelqu'un,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,LO SO ZO TI PROBLEME LA,"Celui là, est une personne à problème",ITA TI MBI,Mon frère; ,,,,,Wali so lo yeke na soupou,Cette femme dispose de forme de fesse extra-ordinaire,,,,,,,,,,
HAINE,Jalousie,HAINE,,,,BA KPANDA LO,"Regarde, ce chiot; ","ITA TI MBI, WA BE AFRICA",Mon frère compatriote centrafricain; ,,,,,Kossala ti mo so yeti mbati la,tu travailles comme un praticien traditionnel,,,,,,,,,,
